id,content,date,sentiment
1414098321115951104,green pass per l degli italiani vale più della privacy hitech ansa luglio covid,07-11-2021,0
1415386054945816576,obbligando alluso del green pass nei luoghi pubblici ripuliranno le stazioni dagli extracomunitari senza la certificazione,07-14-2021,0
1413504570827841539,tanti chiedono indicazioni per la quartadose ovviamente dovete andare nel solito centro dove si sta in fila per limmunità di gregge a brucare greenpass nel campo dei miracoli sulla strada che non porta in nessun ovile in via degli schiavi numero zero,07-09-2021,0
1415640542717923329,per green pass basta anche esser guariti da covid o tampone precedente all evento negativo,07-15-2021,0
1412383815285215240,è incompatibile pure con il regolamento ue sul green pass basta leggere i considerando iniziali,07-06-2021,0
1413260266586976257,richard ashcroft cantante della storica band the verve ha rifiutato l invito a partecipare allo sheffield s tramlines festival riservato a spettatori con green pass,07-08-2021,0
1412736720794275843,no virginia ho avuto problemi con i green pass ero ospite di mio zio e come ho capito allo stadio nn potevo entrare perché nn ero residente meglio così virginia,07-07-2021,0
1415270606417932293,grande marianna il presidente francese ha seguito il tuo consiglio senza green pass nn si entra,07-14-2021,0
1415632405491298304,come vuoi tu io per andare allestero devo andare a fare il test il mio collega con green pass deve fare il test e giorni fa ho avuto il covid nonostante le doppia dose di vaccino fatta mesi fa,07-15-2021,0
1415646626400636933,tutti vaccinati dunque con eventuale greenpass in positivi ilgrandebluff,07-15-2021,0
1415714327357792257,il green pass è per chi fa dosi di vaccino mica per chi ha gli anticorpi naturali,07-15-2021,0
1414517810726850560,ovviamente non è vero ma intanto si costruisce il frame e si apre la finestrella privacy greenpass,07-12-2021,0
1414886933801615360,il greenpass viene rilasciato dalle autorità nazionali una volta che è verde per il ministero italiano lo è per tutti il problema è stato non mettere le stesse regole,07-13-2021,0
1415005077811642369,no green pass no chiusure no obbligo vaccinale no coprifuoco no zone rosse o gialle no mask no vax no dad no bollettino giornaliero o settimanale insomma sto virus basta convincerlo e se ne va da solo e allora perché nessuno di voi no tutto ci è ancora andato a parlare,07-13-2021,0
1415216401384607746,cosa stiamo aspettando greenpass macron vaccinareh,07-14-2021,0
1411329923910934533,guarda il mio tweet sul green pass,07-03-2021,0
1411682732703420420,» tutta salute green pass e vaccini falsi in vendita nel dark web la finanza sequestra canali telegram,07-04-2021,0
1412119434580434949,stesso problema io regione sicilia guarito ad aprile nel fascicolo elettronico non cè niente né su io né in farmacia ho chiamato mezza italia numero asl numeri verdi ma niente di niente nessuno sa aiutarmi greenpass guariti guarito,07-05-2021,0
1415298164836417539,le feste delle banche usa il green pass della discordia la trattativa statobonucci,07-14-2021,0
1415570482565427201,rt green pass obbligatorio in tutti i luoghi a rischio assembramento e quindi per stadi e palestre eventi e convegni treni e aerei spettacoli discoteche è questa la linea che prevale nel governo greenpass greenpassobbligatorio,07-15-2021,0
1415307388949774336,ma sai leggere ho detto che non è importante dai su anche tu impara a leggere con la testa e non con lo stomaco ho detto che il green pass non lo è se non fosse per l immunità di gregge le persone come me a cui i vaccini non sempre funzionano avrebbero stirato le zampe,07-14-2021,0
